#x_m        ; y_m         ; vx_mps      ; psi_rad
-0.0440806  ; -0.8491629  ; 8.0000000   ; 3.4034118
-0.2372250  ; -0.9009210  ; 8.0000000   ; 3.4034229
-0.4303688  ; -0.9526814  ; 8.0000000   ; 3.4034352
-0.6235119  ; -1.0044443  ; 8.0000000   ; 3.4034487
-0.8166543  ; -1.0562099  ; 8.0000000   ; 3.4034633
-1.0097960  ; -1.1079784  ; 8.0000000   ; 3.4034790
-1.2029368  ; -1.1597500  ; 8.0000000   ; 3.4034959
-1.3960767  ; -1.2115250  ; 8.0000000   ; 3.4035138
-1.5892156  ; -1.2633036  ; 8.0000000   ; 3.4035329
-1.7823535  ; -1.3150860  ; 8.0000000   ; 3.4035529
-1.9754904  ; -1.3668723  ; 8.0000000   ; 3.4035740
-2.1686261  ; -1.4186628  ; 8.0000000   ; 3.4035961
-2.3617606  ; -1.4704577  ; 8.0000000   ; 3.4036192
-2.5548940  ; -1.5222571  ; 8.0000000   ; 3.4036432
-2.7480260  ; -1.5740613  ; 8.0000000   ; 3.4036682
-2.9411568  ; -1.6258704  ; 8.0000000   ; 3.4036941
-3.1342862  ; -1.6776845  ; 8.0000000   ; 3.4037208
-3.3274142  ; -1.7295039  ; 8.0000000   ; 3.4037484
-3.5205407  ; -1.7813287  ; 8.0000000   ; 3.4037768
-3.7136658  ; -1.8331591  ; 8.0000000   ; 3.4038059
-3.9067893  ; -1.8849951  ; 8.0000000   ; 3.4038359
-4.0999112  ; -1.9368370  ; 8.0000000   ; 3.4038665
-4.2930315  ; -1.9886849  ; 8.0000000   ; 3.4038978
-4.4861502  ; -2.0405389  ; 8.0000000   ; 3.4039298
-4.6792673  ; -2.0923992  ; 8.0000000   ; 3.4039624
-4.8723826  ; -2.1442658  ; 8.0000000   ; 3.4039956
-5.0654961  ; -2.1961388  ; 8.0000000   ; 3.4040293
-5.2586080  ; -2.2480185  ; 8.0000000   ; 3.4040636
-5.4517180  ; -2.2999048  ; 8.0000000   ; 3.4040983
-5.6448262  ; -2.3517978  ; 8.0000000   ; 3.4041335
-5.8379326  ; -2.4036977  ; 8.0000000   ; 3.4041691
-6.0310371  ; -2.4556044  ; 8.0000000   ; 3.4042050
-6.2241397  ; -2.5075182  ; 8.0000000   ; 3.4042413
-6.4172405  ; -2.5594390  ; 8.0000000   ; 3.4042780
-6.6103393  ; -2.6113669  ; 8.0000000   ; 3.4043148
-6.8034362  ; -2.6633019  ; 8.0000000   ; 3.4043519
-6.9965312  ; -2.7152441  ; 8.0000000   ; 3.4043892
-7.1896243  ; -2.7671936  ; 8.0000000   ; 3.4044267
-7.3827154  ; -2.8191502  ; 8.0000000   ; 3.4044642
-7.5758045  ; -2.8711142  ; 8.0000000   ; 3.4045019
-7.7688917  ; -2.9230854  ; 8.0000000   ; 3.4045396
-7.9619769  ; -2.9750639  ; 8.0000000   ; 3.4045773
-8.1550602  ; -3.0270497  ; 8.0000000   ; 3.4046150
-8.3481415  ; -3.0790427  ; 8.0000000   ; 3.4046527
-8.5412208  ; -3.1310431  ; 8.0000000   ; 3.4046903
-8.7342982  ; -3.1830506  ; 8.0000000   ; 3.4047277
-8.9273737  ; -3.2350654  ; 8.0000000   ; 3.4047650
-9.1204472  ; -3.2870874  ; 8.0000000   ; 3.4048021
-9.3135188  ; -3.3391165  ; 8.0000000   ; 3.4048389
-9.5065885  ; -3.3911526  ; 8.0000000   ; 3.4048755
-9.6996563  ; -3.4431959  ; 8.0000000   ; 3.4049118
-9.8927222  ; -3.4952461  ; 8.0000000   ; 3.4049478
-10.0857862 ; -3.5473032  ; 8.0000000   ; 3.4049835
-10.2788484 ; -3.5993672  ; 8.0000000   ; 3.4050187
-10.4719088 ; -3.6514379  ; 8.0000000   ; 3.4050535
-10.6649673 ; -3.7035153  ; 8.0000000   ; 3.4050879
-10.8580241 ; -3.7555993  ; 8.0000000   ; 3.4051218
-11.0510792 ; -3.8076898  ; 8.0000000   ; 3.4051552
-11.2441325 ; -3.8597867  ; 8.0000000   ; 3.4051881
-11.4371841 ; -3.9118899  ; 8.0000000   ; 3.4052204
-11.6302340 ; -3.9639993  ; 8.0000000   ; 3.4052522
-11.8232824 ; -4.0161147  ; 8.0000000   ; 3.4052833
-12.0163290 ; -4.0682361  ; 8.0000000   ; 3.4053137
-12.2093742 ; -4.1203633  ; 8.0000000   ; 3.4053435
-12.4024178 ; -4.1724962  ; 8.0000000   ; 3.4053726
-12.5954599 ; -4.2246346  ; 8.0000000   ; 3.4054010
-12.7885005 ; -4.2767785  ; 8.0000000   ; 3.4054286
-12.9815397 ; -4.3289276  ; 8.0000000   ; 3.4054554
-13.1745776 ; -4.3810818  ; 8.0000000   ; 3.4054815
-13.3676141 ; -4.4332409  ; 8.0000000   ; 3.4055068
-13.5606493 ; -4.4854049  ; 8.0000000   ; 3.4055312
-13.7536832 ; -4.5375735  ; 8.0000000   ; 3.4055548
-13.9467160 ; -4.5897465  ; 8.0000000   ; 3.4055774
-14.1397476 ; -4.6419238  ; 8.0000000   ; 3.4055992
-14.3327780 ; -4.6941053  ; 8.0000000   ; 3.4056201
-14.5258074 ; -4.7462907  ; 8.0000000   ; 3.4056400
-14.7188358 ; -4.7984799  ; 8.0000000   ; 3.4056590
-14.9118633 ; -4.8506726  ; 8.0000000   ; 3.4056770
-15.1048898 ; -4.9028687  ; 8.0000000   ; 3.4056940
-15.2979154 ; -4.9550679  ; 8.0000000   ; 3.4057100
-15.4909403 ; -5.0072702  ; 8.0000000   ; 3.4057249
-15.6839644 ; -5.0594753  ; 8.0000000   ; 3.4057388
-15.8769878 ; -5.1116829  ; 8.0000000   ; 3.4057517
-16.0700105 ; -5.1638929  ; 8.0000000   ; 3.4057635
