# 669632bd-94be-4387-bea4-a6140e234012
# 7834a7db6a157bc96455a93a0ff10b672dfe90ce
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 2.2780170; 0.2975239; -0.6675427; 0.8761785; 3.6548864; -3.7216652
0.0999513; 2.3337556; 0.3745335; -0.5861795; 0.8322663; 3.5516508; -2.2921444
0.1999026; 2.3831700; 0.4555769; -0.5098235; 0.7743337; 3.4865481; -1.0687594
0.2998540; 2.4266466; 0.5403317; -0.4391700; 0.7078927; 3.4557734; -0.0456068
0.3998053; 2.4645714; 0.6284757; -0.3745856; 0.6378463; 3.4544541; 0.7994707
0.4997566; 2.4973306; 0.7196867; -0.3161651; 0.5679884; 3.4775091; 1.4942630
0.5997079; 2.5253104; 0.8136425; -0.2638026; 0.5008940; 3.5201955; 1.5731499
0.6996593; 2.5488971; 0.9100208; -0.2172612; 0.4380556; 3.5645832; 1.4785704
0.7996106; 2.5684766; 1.0084993; -0.1762308; 0.3801249; 3.6058041; 1.3896772
0.8995619; 2.5844353; 1.1087558; -0.1403733; 0.3271619; 3.6441218; 1.3061282
0.9995132; 2.5971592; 1.2104681; -0.1093539; 0.2788434; 3.6797720; 1.2276024
1.0994646; 2.6070346; 1.3133139; -0.0828632; 0.2346160; 3.7129669; 1.1537976
1.1994159; 2.6144476; 1.4169709; -0.0606300; 0.1937976; 3.7438977; 1.0844300
1.2993672; 2.6197844; 1.5211170; -0.0424302; 0.1556368; 3.7727378; 1.0192329
1.3993185; 2.6234312; 1.6254299; -0.0280920; 0.1193408; 3.7996445; 0.9579555
1.4992699; 2.6257730; 1.7295324; -0.0174727; 0.0882761; 3.8247609; 0.9003621
1.5992212; 2.6271188; 1.8329129; -0.0086718; 0.0819469; 3.8482179; 0.8462314
1.6991725; 2.6275886; 1.9358484; -0.0005669; 0.0755013; 3.8701350; 0.7953550
1.7991238; 2.6272617; 2.0383235; 0.0068350; 0.0689362; 3.8906218; 0.7475374
1.8990752; 2.6262174; 2.1403231; 0.0135270; 0.0622463; 3.9097791; 0.7025946
1.9990265; 2.6245350; 2.2418320; 0.0195016; 0.0554244; 3.9276995; 0.6603539
2.0989778; 2.6222939; 2.3428348; 0.0247508; 0.0484615; 3.9444683; 0.6206527
2.1989291; 2.6195734; 2.4433164; 0.0292661; 0.0413466; 3.9601641; 0.5833384
2.2988805; 2.6164528; 2.5432616; 0.0330383; 0.0340667; 3.9748599; 0.5482674
2.3988318; 2.6130115; 2.6426550; 0.0360573; 0.0266071; 3.9886227; 0.5153050
2.4987831; 2.6093287; 2.7414815; 0.0383121; 0.0189512; 4.0015149; 0.4843243
2.5987344; 2.6054839; 2.8397258; 0.0397907; 0.0110806; 4.0135943; 0.4552062
2.6986858; 2.6015562; 2.9373727; 0.0404799; 0.0029751; 4.0249145; 0.4278387
2.7986371; 2.5976251; 3.0344070; 0.0403654; -0.0053871; 4.0355251; 0.4021165
2.8985884; 2.5937699; 3.1308134; 0.0394315; -0.0140296; 4.0454724; 0.3779409
2.9985397; 2.5900121; 3.2281060; 0.0376491; -0.0212137; 4.0547994; 0.3552186
3.0984911; 2.5863003; 3.3296310; 0.0354113; -0.0228371; 4.0635461; 0.3338625
3.1984424; 2.5828451; 3.4305275; 0.0330254; -0.0244225; 4.0717499; 0.3137903
3.2983937; 2.5796552; 3.5308906; 0.0304957; -0.0259554; 4.0794454; 0.2949249
3.3983450; 2.5767392; 3.6308154; 0.0278271; -0.0274216; 4.0866650; 0.2771937
3.4982964; 2.5741058; 3.7303969; 0.0250258; -0.0288071; 4.0934390; 0.2605285
3.5982477; 2.5717638; 3.8297303; 0.0220985; -0.0300988; 4.0997955; 0.2448652
3.6981990; 2.5697219; 3.9289105; 0.0190529; -0.0312845; 4.1057609; 0.2301437
3.7981503; 2.5679886; 4.0280326; 0.0158975; -0.0323532; 4.1113597; 0.2163072
3.8981017; 2.5665728; 4.1271918; 0.0126412; -0.0332955; 4.1166150; 0.2033026
3.9980530; 2.5654831; 4.2264832; 0.0092938; -0.0341036; 4.1215482; 0.1910798
4.0980043; 2.5647283; 4.3260016; 0.0058653; -0.0347715; 4.1261795; 0.1795919
4.1979556; 2.5643169; 4.4258424; 0.0023663; -0.0352950; 4.1305276; 0.1687946
4.2979070; 2.5642577; 4.5261004; -0.0011924; -0.0356721; 4.1346101; 0.1586465
4.3978583; 2.5645535; 4.6256464; -0.0047371; -0.0344610; 4.1384435; 0.1491085
4.4978096; 2.5651656; 4.7224518; -0.0078282; -0.0294276; 4.1420432; 0.1401439
4.5977609; 2.5660591; 4.8197761; -0.0104529; -0.0245359; 4.1454236; 0.1317183
4.6977123; 2.5671916; 4.9176098; -0.0126195; -0.0197783; 4.1485983; 0.1237993
4.7976636; 2.5685207; 5.0159435; -0.0143356; -0.0151471; 4.1515799; 0.1163563
4.8976149; 2.5700041; 5.1147676; -0.0156086; -0.0106351; 4.1543802; 0.1093608
4.9975662; 2.5715994; 5.2140728; -0.0164453; -0.0062353; 4.1570105; 0.1027860
5.0975176; 2.5732642; 5.3138496; -0.0168522; -0.0019407; 4.1594812; 0.0966063
5.1974689; 2.5749563; 5.4140884; -0.0168355; 0.0022551; 4.1618020; 0.0907983
5.2974202; 2.5766333; 5.5147799; -0.0164009; 0.0063582; 4.1639821; 0.0853394
5.3973715; 2.5782527; 5.6159145; -0.0155538; 0.0103746; 4.1660300; 0.0802087
5.4973229; 2.5797722; 5.7174828; -0.0142993; 0.0143098; 4.1679539; 0.0753864
5.5972742; 2.5811496; 5.8194754; -0.0126421; 0.0181690; 4.1697614; 0.0708541
5.6972255; 2.5823423; 5.9218827; -0.0105866; 0.0219571; 4.1714595; 0.0665943
5.7971768; 2.5833082; 6.0246954; -0.0081371; 0.0256786; 4.1730548; 0.0625906
5.8971282; 2.5839910; 6.1263709; -0.0050896; 0.0369243; 4.1745537; 0.0588276
5.9970795; 2.5842910; 6.2275439; -0.0005846; 0.0521262; 4.1759619; 0.0552908
6.0970308; 2.5840563; 6.3289076; 0.0054726; 0.0674092; 4.1772851; 0.0519666
