#x_m        ; y_m         ; vx_mps      ; psi_rad     ; kappa_radpm
-0.0440806  ; -0.8491629  ; 8.0000000   ; 3.4034118   ; 0.0000525
-0.2372250  ; -0.9009210  ; 8.0000000   ; 3.4034229   ; 0.0000585
-0.4303688  ; -0.9526814  ; 8.0000000   ; 3.4034352   ; 0.0000644
-0.6235119  ; -1.0044443  ; 8.0000000   ; 3.4034487   ; 0.0000702
-0.8166543  ; -1.0562099  ; 8.0000000   ; 3.4034633   ; 0.0000759
-1.0097960  ; -1.1079784  ; 8.0000000   ; 3.4034790   ; 0.0000816
-1.2029368  ; -1.1597500  ; 8.0000000   ; 3.4034959   ; 0.0000870
-1.3960767  ; -1.2115250  ; 8.0000000   ; 3.4035138   ; 0.0000925
-1.5892156  ; -1.2633036  ; 8.0000000   ; 3.4035329   ; 0.0000978
-1.7823535  ; -1.3150860  ; 8.0000000   ; 3.4035529   ; 0.0001029
-1.9754904  ; -1.3668723  ; 8.0000000   ; 3.4035740   ; 0.0001081
-2.1686261  ; -1.4186628  ; 8.0000000   ; 3.4035961   ; 0.0001130
-2.3617606  ; -1.4704577  ; 8.0000000   ; 3.4036192   ; 0.0001179
-2.5548940  ; -1.5222571  ; 8.0000000   ; 3.4036432   ; 0.0001226
-2.7480260  ; -1.5740613  ; 8.0000000   ; 3.4036682   ; 0.0001271
-2.9411568  ; -1.6258704  ; 8.0000000   ; 3.4036941   ; 0.0001316
-3.1342862  ; -1.6776845  ; 8.0000000   ; 3.4037208   ; 0.0001358
-3.3274142  ; -1.7295039  ; 8.0000000   ; 3.4037484   ; 0.0001400
-3.5205407  ; -1.7813287  ; 8.0000000   ; 3.4037768   ; 0.0001440
-3.7136658  ; -1.8331591  ; 8.0000000   ; 3.4038059   ; 0.0001478
-3.9067893  ; -1.8849951  ; 8.0000000   ; 3.4038359   ; 0.0001515
-4.0999112  ; -1.9368370  ; 8.0000000   ; 3.4038665   ; 0.0001549
-4.2930315  ; -1.9886849  ; 8.0000000   ; 3.4038978   ; 0.0001583
-4.4861502  ; -2.0405389  ; 8.0000000   ; 3.4039298   ; 0.0001615
-4.6792673  ; -2.0923992  ; 8.0000000   ; 3.4039624   ; 0.0001645
-4.8723826  ; -2.1442658  ; 8.0000000   ; 3.4039956   ; 0.0001674
-5.0654961  ; -2.1961388  ; 8.0000000   ; 3.4040293   ; 0.0001700
-5.2586080  ; -2.2480185  ; 8.0000000   ; 3.4040636   ; 0.0001725
-5.4517180  ; -2.2999048  ; 8.0000000   ; 3.4040983   ; 0.0001748
-5.6448262  ; -2.3517978  ; 8.0000000   ; 3.4041335   ; 0.0001769
-5.8379326  ; -2.4036977  ; 8.0000000   ; 3.4041691   ; 0.0001790
-6.0310371  ; -2.4556044  ; 8.0000000   ; 3.4042050   ; 0.0001807
-6.2241397  ; -2.5075182  ; 8.0000000   ; 3.4042413   ; 0.0001823
-6.4172405  ; -2.5594390  ; 8.0000000   ; 3.4042780   ; 0.0001837
-6.6103393  ; -2.6113669  ; 8.0000000   ; 3.4043148   ; 0.0001850
